16,10 -0.49999999396492883
16,15 -0.49999999396492883
16,20 -0.49999999396492883
16,25 -0.49999999396492883
16,30 -0.49999999396492883
16,35 -0.49999999396492883
16,40 -0.49999999396492883
16,45 -0.49999999396492883
16,50 -0.49999999396492883
16,55 -0.49999999396492883
16,60 -0.49999999396492883
16,65 -0.49999999396492883
16,70 -0.49999999396492883
16,75 -0.49999999396492883
16,80 -0.49999999396492883
16,85 -0.49999999396492883
16,90 -0.49999999396492883
16,95 -0.49999999396492883
17,00 -0.4999999943518781
17,05 -0.4999999943518781
17,10 -0.4999999943518781
17,15 -0.4999999943518781
17,20 -0.4999999943518781
17,25 -0.4999999943518781
17,30 -0.4999999943518781
17,35 -0.4999999943518781
17,40 -0.4999999943518781
17,45 -0.4999999943518781
17,50 -0.4999999943518781
17,55 -0.4999999943518781
17,60 -0.4999999943518781
17,65 -0.4999999943518781
17,70 -0.4999999943518781
17,75 -0.4999999943518781
17,80 -0.4999999943518781
17,85 -0.4999999943518781
17,90 -0.4999999943518781
17,95 -0.4999999943518781
18,00 -0.4999999943796154
18,05 -0.4999999943796154
18,10 -0.4999999943796154
18,15 -0.4999999943796154
18,20 -0.4999999943796154
18,25 -0.4999999943796154
18,30 -0.4999999943796154
18,35 -0.4999999943796154
18,40 -0.4999999943796154
18,45 -0.4999999943796154
18,50 -0.4999999943796154
18,55 -0.4999999943796154
18,60 -0.4999999943796154
18,65 -0.4999999943796154
18,70 -0.4999999943796154
18,75 -0.4999999943796154
18,80 -0.4999999943796154
18,85 -0.4999999943796154
18,90 -0.4999999943796154
18,95 -0.4999999943796154
19,00 -0.49999999449918786
19,05 -0.49999999449918786
19,10 -0.49999999449918786
19,15 -0.49999999449918786
19,20 -0.49999999449918786
19,25 -0.49999999449918786
19,30 -0.49999999449918786
19,35 -0.49999999449918786
19,40 -0.49999999449918786
19,45 -0.49999999449918786
19,50 -0.49999999449918786
19,55 -0.49999999449918786
19,60 -0.49999999449918786
19,65 -0.49999999449918786
19,70 -0.49999999449918786
19,75 -0.49999999449918786
19,80 -0.49999999449918786
19,85 -0.49999999449918786
19,90 -0.49999999449918786
19,95 -0.49999999449918786
20,00 -0.4999999948664301
20,05 -0.4999999948664301
20,10 -0.4999999948664301
20,15 -0.4999999948664301
20,20 -0.4999999948664301
20,25 -0.4999999948664301
20,30 -0.4999999948664301
20,35 -0.4999999948664301
20,40 -0.4999999948664301
20,45 -0.4999999948664301
20,50 -0.4999999948664301
20,55 -0.4999999948664301
20,60 -0.4999999948664301
20,65 -0.4999999948664301
20,70 -0.4999999948664301
20,75 -0.4999999948664301
20,80 -0.4999999948664301
20,85 -0.4999999948664301
20,90 -0.4999999948664301
20,95 -0.4999999948664301
21,00 -0.4999999949458832
21,05 -0.4999999949458832
21,10 -0.4999999949458832
21,15 -0.4999999949458832
21,20 -0.4999999949458832
21,25 -0.4999999949458832
21,30 -0.4999999949458832
21,35 -0.4999999949458832
21,40 -0.4999999949458832
21,45 -0.4999999949458832
21,50 -0.4999999949458832
21,55 -0.4999999949458832
21,60 -0.4999999949458832
21,65 -0.4999999949458832
21,70 -0.4999999949458832
21,75 -0.4999999949458832
21,80 -0.4999999949458832
21,85 -0.4999999949458832
21,90 -0.4999999949458832
21,95 -0.4999999949458832
22,00 -0.49999999495591746
22,05 -0.49999999495591746
22,10 -0.49999999495591746
22,15 -0.49999999495591746
22,20 -0.49999999495591746
22,25 -0.49999999495591746
22,30 -0.49999999495591746
22,35 -0.49999999495591746
22,40 -0.49999999495591746
22,45 -0.49999999495591746
22,50 -0.49999999495591746
22,55 -0.49999999495591746
22,60 -0.49999999495591746
22,65 -0.49999999495591746
22,70 -0.49999999495591746
22,75 -0.49999999495591746
22,80 -0.49999999495591746
22,85 -0.49999999495591746
22,90 -0.49999999495591746
22,95 -0.49999999495591746
23,00 -0.49999999503925774
23,05 -0.49999999503925774
23,10 -0.49999999503925774
23,15 -0.49999999503925774
23,20 -0.49999999503925774
23,25 -0.49999999503925774
23,30 -0.49999999503925774
23,35 -0.49999999503925774
23,40 -0.49999999503925774
23,45 -0.49999999503925774
23,50 -0.49999999503925774
23,55 -0.49999999503925774
23,60 -0.49999999503925774
23,65 -0.49999999503925774
23,70 -0.49999999503925774
23,75 -0.49999999503925774
23,80 -0.49999999503925774
23,85 -0.49999999503925774
23,90 -0.49999999503925774
23,95 -0.49999999503925774
24,00 -0.4999999951513821
24,05 -0.4999999951513821
24,10 -0.4999999951513821
24,15 -0.4999999951513821
24,20 -0.4999999951513821
24,25 -0.4999999951513821
24,30 -0.4999999951513821
